4848517-0,29978273,29978275,172.008895
6392828-8,53114591,53140471,105.889264
6392828-9,53140471,53112865,98.412223
22917214-1,246758485,246758486,111.131483
22917214-0,246758484,246758485,95.315167
6405812-0,53155434,53155436,202.612079
6405812-1,53155436,53072508,201.867333
24876815-0,255774317,53131118,2549.862938
6351550-5,53089777,53089778,88.912267
6351550-6,53089778,53089779,222.280614
4810361-0,30888115,30171134,409.976201
6351550-1,53064003,53089774,144.165649
6499496-0,53227221,53204779,199.930067
6351202-11,53082779,53089306,67.715841
6351202-10,53089305,53082779,158.003605
4869345-1,31429756,59713256,18.002108
4869345-0,32103800,31429756,13.781838
4869345-3,59713262,31430219,8.827989
4869345-2,59713256,59713262,61.595081
4869345-5,31430311,29973100,35.951517
4869345-4,31430219,31430311,47.330955
4869345-7,31430313,31430314,25.273640
4869345-6,29973100,31430313,76.257144
4869345-9,29464754,31429761,10.626008
4869345-8,31430314,29464754,13.548300
4910867-0,30280227,30280231,175.877260
6363120-1,53071966,53103949,41.133896
6363120-0,53103948,53071966,160.945336
6363120-2,53103949,53103951,128.565136
10507640-2,53220142,53202301,202.389458
10507640-3,53202301,53220143,184.640380
10507640-0,53088346,53164865,209.946375
10507640-1,53164865,53220142,200.749824
6352515-0,53090941,53090945,386.610267
6489347-3,53233611,53192728,173.870362
6489347-2,53209546,53233611,413.273468
6489347-1,53126292,53209546,128.373143
6489347-0,53179399,53126292,285.096898
6370529-0,53075622,53112851,143.738641
6370529-1,53112851,53112853,142.129096
6370529-2,53112853,53112854,140.819895
6370529-3,53112854,53080478,155.267742
6370529-4,53080478,53112855,152.154673
6370529-5,53112855,53068391,115.433432
6370529-6,53068391,53112856,197.552198
6370529-7,53112856,53063996,210.444103
6370529-8,53063996,53112857,232.169438
6370529-9,53112857,53112859,22.039104
6448694-0,53201959,53156436,127.402639
10648715-1,94008497,94008501,146.332727
10648715-0,94007321,94008497,595.518943
6450078-0,53120821,53080446,74.831359
6450078-1,53080446,53192556,68.924165
6378809-6,53122963,53113948,104.738976
6378809-5,53122960,53122963,99.691330
6378809-4,53122958,53122960,95.393267
6378809-3,53082547,53122958,97.442202
6378809-2,53122954,53082547,99.012581
6378809-1,53122952,53122954,98.516663
6378809-0,53122950,53122952,96.270101
6398031-0,53103373,53122954,96.628657
6493886-2,53066577,53237527,82.321001
6493886-3,53237527,53167019,78.762419
6493886-0,53201709,53237526,75.542600
6493886-1,53237526,53066577,56.548378
6463594-1,53277139,59947280,30.729294
6463594-0,53181417,53277139,37.155876
6463594-3,53214498,53214499,75.658884
6463594-2,59947280,53214498,10.577989
7970605-0,53083223,53136571,92.213426
7970605-1,53136571,53136573,79.945279
10381022-29,67507259,53090484,42.991636
10381022-28,53147252,67507259,39.149150
10381022-23,53147258,53116766,79.822974
10381022-22,53147259,53147258,81.112251
10381022-21,53070215,53147259,84.668846
10381022-20,53147261,53070215,126.362669
10381022-27,67507242,53147252,41.704975
10381022-26,53147253,67507242,38.007034
10381022-25,53142717,53147253,78.400334
10381022-24,53116766,53142717,82.868289
23228404-21,53108412,53200200,261.304795
4743956-0,30231124,30231348,220.972001
4743956-1,30231348,30231125,116.626150
6486419-10,53231630,53084814,92.596124
23228404-20,53219769,53108412,27.927139
4910593-0,32103904,32103445,8.382853
6487763-1,53068669,53181955,157.215902
6487763-0,53123378,53068669,184.994504
7978512-0,59710788,59710789,137.295537
8591488-3,94338772,29937782,1924.502524
8591488-2,94338817,94338772,367.251582
8591488-1,60979339,94338817,1689.592888
8591488-0,29937707,60979339,609.973790
6442650-2,53197107,53197109,200.717337
6442650-1,53179627,53197107,104.335201
6442650-0,53179320,53179627,97.019904
10667114-15,53091182,91253841,101.822590
10667114-14,53108436,53091182,78.330385
10667114-17,53124813,53124814,88.268924
10667114-16,91253841,53124813,15.998987
10667114-11,53099032,53124812,107.815483
10667114-10,53099039,53099032,41.524188
10667114-13,53108418,53108436,68.556744
10667114-12,53124812,53108418,51.267555
10667114-19,53124816,91253653,14.798922
10667114-18,53124814,53124816,90.166487
6363668-6,53104604,53104608,411.493863
6363668-7,53104608,53104637,2424.958909
6363668-4,53104601,53104603,214.722925
6363668-5,53104603,53104604,222.407731
6363668-2,53104596,53104598,200.194097
6363668-3,53104598,53104601,563.259030
6514758-8,53155772,53181431,196.212655
6514758-9,53181431,53243504,101.193975
6514758-6,53212683,53247600,205.977039
6514758-7,53247600,53155772,200.580208
6514758-4,53175998,53231071,206.677649
6514758-5,53231071,53212683,201.593496
6514758-2,53182406,53092559,204.407125
6514758-3,53092559,53175998,204.025426
6514758-0,53239208,53100819,100.617171
6514758-1,53100819,53182406,97.681497
6403907-1,53079484,53104776,43.039944
6403907-0,53153068,53079484,286.075569
6317829-0,52975546,52975547,141.070821
6358721-0,53098681,53098683,87.332060
6397795-0,53146032,53146034,203.179701
6397795-1,53146034,53112665,195.729830
6397795-2,53112665,53146037,60.201419
6402819-0,53114581,53151949,95.741357
6402819-1,53151949,53112859,104.805960
6465765-5,53175995,53216127,203.306862
6344851-6,53072077,53072078,77.798666
9113120-13,53179326,53179327,83.224819
