X,Y,NUMEROLIGN,IDT_SOURCE,CODCOM,COMMUNE,STATUT_,DESIGNATIO,CENTROIDX,CENTROIDY,COMMUNES,TOTAL,TOTAL_R,IDLIGNE
5.405533576203506,43.278103652393838,                  127.0000000000,0132203Z,                13210.0000000000,MARSEILLE,PUBLIC,ROMAIN ROLLAND,,,MARSEILLE 10,283,                  283.0000000000,122
5.405660985926215,43.279026068975888,                  128.0000000000,0131749F,                13210.0000000000,MARSEILLE,PUBLIC,VINCENT SCOTTO,,,MARSEILLE 10,190,                  190.0000000000,123
5.413470303158588,43.279198367183845,                  129.0000000000,0132204A,                13210.0000000000,MARSEILLE,PUBLIC,PONT DE VIVAUX,,,MARSEILLE 10,363,                  363.0000000000,124
5.432659944710879,43.28439275066615,                  130.0000000000,0131922U,                13210.0000000000,MARSEILLE,PUBLIC,BARTAVELLES (LES),,,MARSEILLE 10,616,                  616.0000000000,125
5.406651441800133,43.281142446690509,                  131.0000000000,0133544G,                13210.0000000000,MARSEILLE,PRIVE,O.R.T.,,,MARSEILLE 10,137,                  137.0000000000,126
5.458258031949025,43.287515958549569,                  132.0000000000,0132403S,                13211.0000000000,MARSEILLE,PUBLIC,FRANCOIS VILLON,,,MARSEILLE 11,365,                  365.0000000000,127
5.466019285151095,43.288081719664191,                  133.0000000000,0132401P,                13211.0000000000,MARSEILLE,PUBLIC,CHATEAU FORBIN,,,MARSEILLE 11,642,                  642.0000000000,128
5.483899028259575,43.298508243739676,                  134.0000000000,0132402R,                13211.0000000000,MARSEILLE,PUBLIC,RUISSATEL (LE),,,MARSEILLE 11,832,                  832.0000000000,129
5.497809089985408,43.291757636198334,                  135.0000000000,0131379D,                13211.0000000000,MARSEILLE,PRIVE,N D DE LA JEUNESSE,,,MARSEILLE 11,348,                  348.0000000000,130
5.429043541124115,43.29957057933413,                  136.0000000000,0131750G,                13212.0000000000,MARSEILLE,PUBLIC,LOUIS ARMAND,,,MARSEILLE 12,634,                  634.0000000000,131
5.422882914572231,43.314826465280497,                  137.0000000000,0132732Z,                13212.0000000000,MARSEILLE,PUBLIC,ANDRE CHENIER,,,MARSEILLE 12,608,                  608.0000000000,132
5.442882869552548,43.310098221301921,                  138.0000000000,0131968U,                13212.0000000000,MARSEILLE,PUBLIC,CAILLOLS (QUARTIER DES),,,MARSEILLE 12,697,                  697.0000000000,133
5.437341646626162,43.316503007784483,                  139.0000000000,0133494C,                13212.0000000000,MARSEILLE,PRIVE,HAMASKAINE,,,MARSEILLE 12,96,                   96.0000000000,134
5.407777902959957,43.300357553833422,                  140.0000000000,0131756N,                13212.0000000000,MARSEILLE,PUBLIC,DARIUS MILHAUD,,,MARSEILLE 12,603,                  603.0000000000,135
5.404973319152372,43.330384295871596,                  141.0000000000,0131260Z,                13213.0000000000,MARSEILLE,PUBLIC,EDMOND ROSTAND,,,MARSEILLE 13,396,                  396.0000000000,136
5.425750310843847,43.332952529123219,                  142.0000000000,0132313U,                13213.0000000000,MARSEILLE,PUBLIC,STEPHANE MALLARME,,,MARSEILLE 13,425,                  425.0000000000,137
5.427431141624156,43.328565720766505,                  143.0000000000,0131262B,                13213.0000000000,MARSEILLE,PUBLIC,JACQUES PREVERT,,,MARSEILLE 13,453,                  453.0000000000,138
5.429562685706967,43.332461753494037,                  144.0000000000,0132314V,                13213.0000000000,MARSEILLE,PUBLIC,JEAN GIONO,,,MARSEILLE 13,337,                  337.0000000000,139
5.463133650663676,43.355236661029956,                  145.0000000000,0133665N,                13213.0000000000,PLAN-DE-CUQUES,PUBLIC,Olympe de GOUGES,,,PLAN DE CUQUES,654,                  654.0000000000,140
5.400681452644037,43.32289698575768,                  146.0000000000,0132947H,                13213.0000000000,MARSEILLE,PRIVE,LACORDAIRE,,,MARSEILLE 13,669,                  669.0000000000,141
5.413229650818968,43.331203545878523,                  147.0000000000,0132907P,                13213.0000000000,MARSEILLE,PRIVE,SEVIGNE,,,MARSEILLE 13,763,                  763.0000000000,142
5.419778613167367,43.337919655467083,                  148.0000000000,0133445Z,                13213.0000000000,MARSEILLE,PRIVE,ST FRANCOIS DE SALES,,,MARSEILLE 13,24,                   24.0000000000,143
5.406423952865668,43.32021965626577,                  149.0000000000,0132908R,                13213.0000000000,MARSEILLE,PRIVE,YAVNE,,,MARSEILLE 13,263,                  263.0000000000,144
5.403920001694699,43.330125152878551,                  150.0000000000,0131261A,                13213.0000000000,MARSEILLE,PUBLIC,AUGUSTE RENOIR,,,MARSEILLE 13,385,                  385.0000000000,145
5.381819222640034,43.326368405540215,                  151.0000000000,0132404T,                13214.0000000000,MARSEILLE,PUBLIC,CLAIR SOLEIL,,,MARSEILLE 14,404,                  404.0000000000,146
5.382683608956837,43.321650329489323,                  152.0000000000,0131604Y,                13214.0000000000,MARSEILLE,PUBLIC,HENRI WALLON,,,MARSEILLE 14,517,                  517.0000000000,147
5.387892634042053,43.319715449312213,                  153.0000000000,0132491M,                13214.0000000000,MARSEILLE,PUBLIC,GIBRALTAR (TRAVERSE DE),,,MARSEILLE 14,379,                  379.0000000000,148
5.390833654482185,43.337273998808712,                  154.0000000000,0132730X,                13214.0000000000,MARSEILLE,PUBLIC,PYTHEAS,,,MARSEILLE 14,356,                  356.0000000000,149
5.39517149991005,43.335707007163805,                  155.0000000000,0131703F,                13214.0000000000,MARSEILLE,PUBLIC,EDOUARD MANET,,,MARSEILLE 14,418,                  418.0000000000,150
5.383697592647549,43.346047078575758,                  156.0000000000,0132956T,                13214.0000000000,MARSEILLE,PRIVE,TOUR SAINTE,,,MARSEILLE 14,354,                  354.0000000000,151
